File,NodeType,TypeId,SubtypeId,DisplayName,Volume
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","Construction","DisplayName_Item_ConstructionComponent","2"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","MetalGrid","DisplayName_Item_MetalGrid","15"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","InteriorPlate","DisplayName_Item_InteriorPlate","5"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","SteelPlate","DisplayName_Item_SteelPlate","3"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","Girder","DisplayName_Item_Girder","2"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","SmallTube","DisplayName_Item_SmallSteelTube","2"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","LargeTube","DisplayName_Item_LargeSteelTube","38"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","Motor","DisplayName_Item_Motor","8"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","Display","DisplayName_Item_Display","6"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","BulletproofGlass","DisplayName_Item_BulletproofGlass","8"
"C:\Users\Chris Carpenter\My-Space-Engineers-Mods\[REFERENCE FILES]\Base Game Files\Components.sbc","Component","Component","Superconductor","DisplayName_Item_Superconductor","8"
